word,count
",",927
.,877
I,247
's,160
-,149
And,103
not,87
us,87
people,67
Iraq,63
We,62
country,60
It,60
time,58
?,58
've,57
The,56
America,54
;,52
one,52
know,52
American,48
But,47
government,46
work,45
war,41
must,35
promise,34
also,34
need,34
many,33
would,33
new,32
years,32
care,32
Kenya,31
world,30
make,30
could,30
In,30
That,29
enough,29
weapons,29
're,29
every,28
troops,27
said,26
think,26
Let,26
change,25
``,25
Iraqi,25
like,25
Americans,25
'',24
This,24
’,24
believe,24
keep,24
come,23
today,23
together,23
let,23
health,23
take,23
seen,22
go,22
help,22
way,21
nation,21
last,20
President,20
even,20
made,20
right,20
better,20
great,20
McCain,20
progress,19
party,19
get,19
back,19
job,19
told,18
year,18
ca,18
say,18
saw,18
Washington,18
long,18
John,18
security,18
corruption,18
future,17
face,17
end,17
economy,17
lives,17
part,17
want,17
two,17
see,17
next,16
clear,16
hard,16
jobs,16
still,16
military,16
They,16
politics,16
freedom,15
'll,15
political,15
You,15
best,15
forces,15
U.S.,15
families,15
generation,15
give,15
threats,15
life,14
plan,14
children,14
begin,14
man,14
threat,14
may,14
pay,14
Because,14
never,14
As,14
else,14
around,14
young,14
without,14
strategy,13
nuclear,13
idea,13
'd,13
hope,13
working,13
done,13
Kenyan,13
first,13
For,13
education,13
States,13
women,13
well,13
home,12
opportunity,12
Senator,12
good,12
free,12
ago,12
afford,12
terrorism,12
terrorists,12
United,12
stand,12
Soviet,12
When,11
find,11
finally,11
Afghanistan,11
tell,11
family,11
point,11
schools,11
making,11
Now,11
policy,11
nations,11
--,11
college,11
democracy,11
day,11
He,11
sense,11
challenges,11
possible,11
history,11
:,11
less,11
thought,11
power,11
lead,11
child,11
turn,11
tax,10
different,10
provide,10
came,10
programs,10
problem,10
public,10
Democrats,10
bring,10
look,10
building,10
Iraqis,10
means,10
set,10
So,10
something,10
fight,10
true,10
understand,10
failure,10
Our,10
chance,10
whether,10
men,10
biological,9
conflict,9
called,9
century,9
money,9
across,9
meet,9
use,9
system,9
She,9
story,9
responsibility,9
real,9
put,9
program,9
place,9
past,9
old,9
oil,9
create,9
Bush,9
love,9
Union,9
dreams,9
election,9
father,9
former,9
found,9
going,9
heard,9
instead,9
international,9
away,9
There,8
These,8
What,8
always,8
able,8
heart,8
call,8
serious,8
move,8
poverty,8
prevent,8
protect,8
redeployment,8
resources,8
simply,8
cars,8
small,8
support,8
three,8
traveled,8
trip,8
wo,8
millions,8
measure,8
longer,8
led,8
learned,8
ideas,8
force,8
far,8
factions,8
everyone,8
efforts,8
economic,8
dangerous,8
countries,8
companies,8
common,8
civil,8
My,8
”,8
African,8
Africa,8
If,8
Iran,8
George,8
days,7
others,7
live,7
worked,7
A,7
fought,7
law,7
workers,7
intelligence,7
someone,7
faith,7
terrorist,7
region,7
willing,7
stood,7
win,7
Not,7
critical,7
woman,7
business,7
moment,7
safe,7
tells,7
Congress,7
ways,7
start,7
solution,7
lost,7
hear,7
finish,7
believed,7
tonight,7
high,7
towards,7
problems,7
'm,7
soldiers,7
walk,7
judgment,7
strong,7
easy,7
ahead,7
foreign,7
strength,7
Republicans,7
secure,7
“,7
things,7
stop,7
tough,7
success,6
already,6
cause,6
Reduction,6
Russia,6
9/11,6
forward,6
talk,6
build,6
talking,6
mass,6
proud,6
higher,6
hopes,6
times,6
important,6
questions,6
South,6
race,6
asked,6
Threat,6
thing,6
Chicago,6
got,6
broken,6
Qaeda,6
interests,6
reason,6
built,6
Today,6
businesses,6
campaign,6
invest,6
require,6
Cooperative,6
Dick,6
Kenyans,6
much,6
went,6
words,6
school,6
little,6
national,6
defeat,6
energy,6
society,6
leadership,6
achieve,6
effectively,6
veterans,6
No,6
destruction,6
early,6
leave,6
situation,6
sister,6
settle,6
night,6
yet,6
differences,6
levels,6
dream,6
peace,6
violence,6
says,6
cut,6
fact,6
million,6
Thank,6
rise,6
open,6
ever,6
moments,6
control,6
months,6
honest,6
phased,6
Nunn-Lugar,6
cost,6
standing,6
course,6
crisis,6
ask,5
access,5
al,5
justice,5
agree,5
affordable,5
play,5
battle,5
proliferation,5
left,5
leaders,5
personal,5
issues,5
issue,5
knew,5
lack,5
At,5
alone,5
Lugar,5
behind,5
purpose,5
feel,5
fear,5
continent,5
continue,5
state,5
rules,5
run,5
especially,5
entire,5
ensure,5
someday,5
second,5
send,5
effort,5
deserve,5
effective,5
six,5
single,5
since,5
difficult,5
distracted,5
community,5
filled,5
commanders,5
reach,5
benefits,5
big,5
$,5
bills,5
question,5
born,5
ground,5
greatest,5
East,5
brought,5
resolve,5
Instead,5
global,5
taxes,5
reform,5
chaos,5
values,5
four,5
city,5
student,5
friends,5
disease,5
Lincoln,5
Kennedy,5
necessary,5
officials,5
mind,5
might,5
Republican,5
makes,5
middle-class,5
message,5
victory,5
Russians,5
market,5
within,5
local,5
One,5
office,5
By,5
Of,5
matter,5
often,5
looked,5
To,5
mother,5
watched,5
running,4
opportunities,4
training,4
attacks,4
commitment,4
immigrants,4
finding,4
Korea,4
spoke,4
travel,4
result,4
retirement,4
interest,4
promises,4
respond,4
experts,4
police,4
insurance,4
explain,4
standards,4
courage,4
corner,4
trust,4
individual,4
road,4
independence,4
policies,4
turned,4
wherever,4
month,4
arrived,4
steps,4
fall,4
consequences,4
stories,4
mistakes,4
organizations,4
coming,4
struggle,4
ordinary,4
guard,4
borders,4
recruit,4
Social,4
rather,4
generations,4
third,4
teachers,4
technology,4
given,4
breaks,4
material,4
materials,4
ten,4
bureaucracy,4
goal,4
bringing,4
Senate,4
mean,4
reality,4
takes,4
certain,4
reduction,4
took,4
comes,4
fix,4
hoped,4
become,4
renewed,4
renewable,4
hold,4
remains,4
belief,4
Syria,4
fundamental,4
relationship,4
met,4
21st,4
billions,4
weeks,4
harness,4
march,4
changed,4
How,4
paid,4
continued,4
large,4
listen,4
Ukraine,4
ability,4
deal,4
diplomatic,4
significant,4
keeper,4
sometimes,4
nothing,4
difference,4
write,4
decades,4
decision,4
kids,4
kind,4
number,4
aid,4
enemies,4
sectarian,4
demand,4
land,4
securing,4
worst,4
accountable,4
period,4
ease,4
destiny,4
dependence,4
elections,4
obligation,4
despair,4
lobbyists,4
Middle,4
daughters,4
divided,4
plant,4
cynicism,4
lift,4
special,4
alliances,4
plans,4
voted,4
allow,4
speak,4
using,4
lines,4
sick,4
dollars,4
%,4
spent,4
doubt,4
direction,4
North,4
journey,4
discovered,4
Security,3
childhood,3
chemical,3
regard,3
shores,3
friend,3
easier,3
regimes,3
choices,3
fuel-efficient,3
easily,3
choose,3
surely,3
watch,3
objectives,3
cities,3
showed,3
Rights,3
despite,3
supposed,3
order,3
Administration,3
frustration,3
table,3
fuels,3
serve,3
Enough,3
diplomacy,3
giving,3
settlement,3
capital,3
taught,3
task,3
share,3
watching,3
reduce,3
simple,3
gains,3
wealth,3
talked,3
notice,3
bus,3
taking,3
news,3
taken,3
sit,3
sites,3
week,3
served,3
determine,3
deterioration,3
changes,3
direct,3
Russian,3
reforms,3
reduced,3
crippling,3
civilian,3
form,3
mutual,3
factors,3
factory,3
brother,3
Change,3
fair,3
scenario,3
wider,3
consensus,3
rights,3
model,3
confront,3
death,3
debate,3
name,3
conference,3
odds,3
roads,3
cooperation,3
saying,3
expect,3
moved,3
movement,3
safety,3
speech,3
ethnic,3
stability,3
exist,3
stake,3
ones,3
experience,3
equipment,3
role,3
costs,3
moral,3
rogue,3
starting,3
mission,3
conception,3
restore,3
needs,3
required,3
militias,3
five,3
seem,3
focusing,3
exactly,3
elsewhere,3
self-interest,3
struggles,3
closing,3
remember,3
foresight,3
climate,3
eight,3
remain,3
neighborhoods,3
research,3
whatever,3
streets,3
fighting,3
somebody,3
rest,3
misguided,3
strengthen,3
competitive,3
compete,3
solve,3
whiners,3
Bill,3
engaged,3
final,3
First,3
financial,3
define,3
Finally,3
soil,3
brothers,3
