id,sentence,file_name,location
0,"Let me begin by saying thanks to all you who've traveled, from far and wide, to brave the cold today.",doc1.txt,0
1,We all made this journey for a reason.,doc1.txt,1
2,"It's humbling, but in my heart I know you didn't come here just for me, you came here because you believe in what this country can be.",doc1.txt,2
3,"In the face of war, you believe there can be peace.",doc1.txt,3
4,"In the face of despair, you believe there can be hope.",doc1.txt,4
5,"In the face of a politics that's shut you out, that's told you to settle, that's divided us for too long, you believe we can be one people, reaching for what's possible, building that more perfect union.",doc1.txt,5
6,That's the journey we're on today.,doc1.txt,6
7,But let me tell you how I came to be here.,doc1.txt,7
8,"As most of you know, I am not a native of this great state.",doc1.txt,8
9,I moved to Illinois over two decades ago.,doc1.txt,9
10,"I was a young man then, just a year out of college; I knew no one in Chicago, was without money or family connections.",doc1.txt,10
11,"But a group of churches had offered me a job as a community organizer for $13,000 a year.",doc1.txt,11
12,"And I accepted the job, sight unseen, motivated then by a single, simple, powerful idea - that I might play a small part in building a better America.",doc1.txt,12
13,My work took me to some of Chicago's poorest neighborhoods.,doc1.txt,13
14,I joined with pastors and lay-people to deal with communities that had been ravaged by plant closings.,doc1.txt,14
15,"I saw that the problems people faced weren't simply local in nature - that the decision to close a steel mill was made by distant executives; that the lack of textbooks and computers in schools could be traced to the skewed priorities of politicians a thousand miles away; and that when a child turns to violence, there's a hole in his heart no government could ever fill.",doc1.txt,15
16,"It was in these neighborhoods that I received the best education I ever had, and where I learned the true meaning of my Christian faith.",doc1.txt,16
17,"After three years of this work, I went to law school, because I wanted to understand how the law should work for those in need.",doc1.txt,17
18,"I became a civil rights lawyer, and taught constitutional law, and after a time, I came to understand that our cherished rights of liberty and equality depend on the active participation of an awakened electorate.",doc1.txt,18
19,It was with these ideas in mind that I arrived in this capital city as a state Senator.,doc1.txt,19
20,"It was here, in Springfield, where I saw all that is America converge - farmers and teachers, businessmen and laborers, all of them with a story to tell, all of them seeking a seat at the table, all of them clamoring to be heard.",doc1.txt,20
21,I made lasting friendships here - friends that I see in the audience today.,doc1.txt,21
22,"It was here we learned to disagree without being disagreeable - that it's possible to compromise so long as you know those principles that can never be compromised; and that so long as we're willing to listen to each other, we can assume the best in people instead of the worst.",doc1.txt,22
23,That's why we were able to reform a death penalty system that was broken.,doc1.txt,23
24,That's why we were able to give health insurance to children in need.,doc1.txt,24
25,"That's why we made the tax system more fair and just for working families, and that's why we passed ethics reforms that the cynics said could never, ever be passed.",doc1.txt,25
26,"It was here, in Springfield, where North, South, East and West come together that I was reminded of the essential decency of the American people - where I came to believe that through this decency, we can build a more hopeful America.",doc1.txt,26
27,"And that is why, in the shadow of the Old State Capitol, where Lincoln once called on a divided house to stand together, where common hopes and common dreams still, I stand before you today to announce my candidacy for President of the United States.",doc1.txt,27
28,I recognize there is a certain presumptuousness - a certain audacity - to this announcement.,doc1.txt,28
29,I know I haven't spent a lot of time learning the ways of Washington.,doc1.txt,29
30,But I've been there long enough to know that the ways of Washington must change.,doc1.txt,30
31,The genius of our founders is that they designed a system of government that can be changed.,doc1.txt,31
32,"And we should take heart, because we've changed this country before.",doc1.txt,32
33,"In the face of tyranny, a band of patriots brought an Empire to its knees.",doc1.txt,33
34,"In the face of secession, we unified a nation and set the captives free.",doc1.txt,34
35,"In the face of Depression, we put people back to work and lifted millions out of poverty.",doc1.txt,35
36,"We welcomed immigrants to our shores, we opened railroads to the west, we landed a man on the moon, and we heard a King's call to let justice roll down like water, and righteousness like a mighty stream.",doc1.txt,36
37,"Each and every time, a new generation has risen up and done what's needed to be done.",doc1.txt,37
38,Today we are called once more - and it is time for our generation to answer that call.,doc1.txt,38
39,"For that is our unyielding faith - that in the face of impossible odds, people who love their country can change it.",doc1.txt,39
40,That's what Abraham Lincoln understood.,doc1.txt,40
41,He had his doubts.,doc1.txt,41
42,He had his defeats.,doc1.txt,42
43,He had his setbacks.,doc1.txt,43
44,"But through his will and his words, he moved a nation and helped free a people.",doc1.txt,44
45,"It is because of the millions who rallied to his cause that we are no longer divided, North and South, slave and free.",doc1.txt,45
46,"It is because men and women of every race, from every walk of life, continued to march for freedom long after Lincoln was laid to rest, that today we have the chance to face the challenges of this millennium together, as one people - as Americans.",doc1.txt,46
47,"All of us know what those challenges are today - a war with no end, a dependence on oil that threatens our future, schools where too many children aren't learning, and families struggling paycheck to paycheck despite working as hard as they can.",doc1.txt,47
48,We know the challenges.,doc1.txt,48
49,We've heard them.,doc1.txt,49
50,We've talked about them for years.,doc1.txt,50
51,What's stopped us from meeting these challenges is not the absence of sound policies and sensible plans.,doc1.txt,51
52,"What's stopped us is the failure of leadership, the smallness of our politics - the ease with which we're distracted by the petty and trivial, our chronic avoidance of tough decisions, our preference for scoring cheap political points instead of rolling up our sleeves and building a working consensus to tackle big problems.",doc1.txt,52
53,"For the last six years we've been told that our mounting debts don't matter, we've been told that the anxiety Americans feel about rising health care costs and stagnant wages are an illusion, we've been told that climate change is a hoax, and that tough talk and an ill-conceived war can replace diplomacy, and strategy, and foresight.",doc1.txt,53
54,"And when all else fails, when Katrina happens, or the death toll in Iraq mounts, we've been told that our crises are somebody else's fault.",doc1.txt,54
55,"We're distracted from our real failures, and told to blame the other party, or gay people, or immigrants.",doc1.txt,55
56,"And as people have looked away in disillusionment and frustration, we know what's filled the void.",doc1.txt,56
57,"The cynics, and the lobbyists, and the special interests who've turned our government into a game only they can afford to play.",doc1.txt,57
58,"They write the checks and you get stuck with the bills, they get the access while you get to write a letter, they think they own this government, but we're here today to take it back.",doc1.txt,58
59,The time for that politics is over.,doc1.txt,59
60,It's time to turn the page.,doc1.txt,60
61,We've made some progress already.,doc1.txt,61
62,I was proud to help lead the fight in Congress that led to the most sweeping ethics reform since Watergate.,doc1.txt,62
63,But Washington has a long way to go.,doc1.txt,63
64,And it won't be easy.,doc1.txt,64
65,That's why we'll have to set priorities.,doc1.txt,65
66,We'll have to make hard choices.,doc1.txt,66
67,"And although government will play a crucial role in bringing about the changes we need, more money and programs alone will not get us where we need to go.",doc1.txt,67
68,"Each of us, in our own lives, will have to accept responsibility - for instilling an ethic of achievement in our children, for adapting to a more competitive economy, for strengthening our communities, and sharing some measure of sacrifice.",doc1.txt,68
69,So let us begin.,doc1.txt,69
70,Let us begin this hard work together.,doc1.txt,70
71,Let us transform this nation.,doc1.txt,71
72,Let us be the generation that reshapes our economy to compete in the digital age.,doc1.txt,72
73,Let's set high standards for our schools and give them the resources they need to succeed.,doc1.txt,73
74,"Let's recruit a new army of teachers, and give them better pay and more support in exchange for more accountability.",doc1.txt,74
75,"Let's make college more affordable, and let's invest in scientific research, and let's lay down broadband lines through the heart of inner cities and rural towns all across America.",doc1.txt,75
76,"And as our economy changes, let's be the generation that ensures our nation's workers are sharing in our prosperity.",doc1.txt,76
77,Let's protect the hard-earned benefits their companies have promised.,doc1.txt,77
78,Let's make it possible for hardworking Americans to save for retirement.,doc1.txt,78
79,And let's allow our unions and their organizers to lift up this country's middle-class again.,doc1.txt,79
80,Let's be the generation that ends poverty in America.,doc1.txt,80
81,"Every single person willing to work should be able to get job training that leads to a job, and earn a living wage that can pay the bills, and afford child care so their kids have a safe place to go when they work.",doc1.txt,81
82,Let's do this.,doc1.txt,82
83,Let's be the generation that finally tackles our health care crisis.,doc1.txt,83
84,"We can control costs by focusing on prevention, by providing better treatment to the chronically ill, and using technology to cut the bureaucracy.",doc1.txt,84
85,"Let's be the generation that says right here, right now, that we will have universal health care in America by the end of the next president's first term.",doc1.txt,85
86,Let's be the generation that finally frees America from the tyranny of oil.,doc1.txt,86
87,"We can harness homegrown, alternative fuels like ethanol and spur the production of more fuel-efficient cars.",doc1.txt,87
88,We can set up a system for capping greenhouse gases.,doc1.txt,88
89,"We can turn this crisis of global warming into a moment of opportunity for innovation, and job creation, and an incentive for businesses that will serve as a model for the world.",doc1.txt,89
90,Let's be the generation that makes future generations proud of what we did here.,doc1.txt,90
91,"Most of all, let's be the generation that never forgets what happened on that September day and confront the terrorists with everything we've got.",doc1.txt,91
92,Politics doesn't have to divide us on this anymore - we can work together to keep our country safe.,doc1.txt,92
93,"I've worked with Republican Senator Dick Lugar to pass a law that will secure and destroy some of the world's deadliest, unguarded weapons.",doc1.txt,93
94,"We can work together to track terrorists down with a stronger military, we can tighten the net around their finances, and we can improve our intelligence capabilities.",doc1.txt,94
95,But let us also understand that ultimate victory against our enemies will come only by rebuilding our alliances and exporting those ideals that bring hope and opportunity to millions around the globe.,doc1.txt,95
96,But all of this cannot come to pass until we bring an end to this war in Iraq.,doc1.txt,96
97,Most of you know I opposed this war from the start.,doc1.txt,97
98,I thought it was a tragic mistake.,doc1.txt,98
99,"Today we grieve for the families who have lost loved ones, the hearts that have been broken, and the young lives that could have been.",doc1.txt,99
100,"America, it's time to start bringing our troops home.",doc1.txt,100
101,It's time to admit that no amount of American lives can resolve the political disagreement that lies at the heart of someone else's civil war.,doc1.txt,101
102,That's why I have a plan that will bring our combat troops home by March of 2008.,doc1.txt,102
103,"Letting the Iraqis know that we will not be there forever is our last, best hope to pressure the Sunni and Shia to come to the table and find peace.",doc1.txt,103
104,"Finally, there is one other thing that is not too late to get right about this war - and that is the homecoming of the men and women - our veterans - who have sacrificed the most.",doc1.txt,104
105,Let us honor their valor by providing the care they need and rebuilding the military they love.,doc1.txt,105
106,Let us be the generation that begins this work.,doc1.txt,106
107,I know there are those who don't believe we can do all these things.,doc1.txt,107
108,I understand the skepticism.,doc1.txt,108
109,"After all, every four years, candidates from both parties make similar promises, and I expect this year will be no different.",doc1.txt,109
110,All of us running for president will travel around the country offering ten-point plans and making grand speeches; all of us will trumpet those qualities we believe make us uniquely qualified to lead the country.,doc1.txt,110
111,"But too many times, after the election is over, and the confetti is swept away, all those promises fade from memory, and the lobbyists and the special interests move in, and people turn away, disappointed as before, left to struggle on their own.",doc1.txt,111
112,That is why this campaign can't only be about me.,doc1.txt,112
113,It must be about us - it must be about what we can do together.,doc1.txt,113
114,"This campaign must be the occasion, the vehicle, of your hopes, and your dreams.",doc1.txt,114
115,"It will take your time, your energy, and your advice - to push us forward when we're doing right, and to let us know when we're not.",doc1.txt,115
116,"This campaign has to be about reclaiming the meaning of citizenship, restoring our sense of common purpose, and realizing that few obstacles can withstand the power of millions of voices calling for change.",doc1.txt,116
117,"By ourselves, this change will not happen.",doc1.txt,117
118,"Divided, we are bound to fail.",doc1.txt,118
119,"But the life of a tall, gangly, self-made Springfield lawyer tells us that a different future is possible.",doc1.txt,119
120,He tells us that there is power in words.,doc1.txt,120
121,He tells us that there is power in conviction.,doc1.txt,121
122,"That beneath all the differences of race and region, faith and station, we are one people.",doc1.txt,122
123,He tells us that there is power in hope.,doc1.txt,123
124,"As Lincoln organized the forces arrayed against slavery, he was heard to say: ""Of strange, discordant, and even hostile elements, we gathered from the four winds, and formed and fought to battle through.""",doc1.txt,124
125,That is our purpose here today.,doc1.txt,125
126,That's why I'm in this race.,doc1.txt,126
127,"Not just to hold an office, but to gather with you to transform a nation.",doc1.txt,127
128,I want to win that next battle - for justice and opportunity.,doc1.txt,128
129,"I want to win that next battle - for better schools, and better jobs, and health care for all.",doc1.txt,129
