id,sentence,file_name,location,label,negative,positive,neutral,parts_of_speech
0,"Let me begin by saying thanks to all you who've traveled, from far and wide, to brave the cold today.",doc1.txt,0,pos,0.4089647130404527,0.5910352869595473,0.12227106444069835,"[[""Let"", ""VB""], [""begin"", ""VB""], [""saying"", ""VBG""], [""thanks"", ""NNS""], [""'ve"", ""VBP""], [""traveled"", ""VBN""], ["","", "",""], [""far"", ""RB""], [""wide"", ""JJ""], ["","", "",""], [""brave"", ""VBP""], [""cold"", ""VBN""], [""today"", ""NN""], [""."", "".""]]"
1,We all made this journey for a reason.,doc1.txt,1,neutral,0.5442196501312728,0.4557803498687272,0.5264366556487461,"[[""We"", ""PRP""], [""made"", ""VBD""], [""journey"", ""NN""], [""reason"", ""NN""], [""."", "".""]]"
2,"It's humbling, but in my heart I know you didn't come here just for me, you came here because you believe in what this country can be.",doc1.txt,2,neg,0.6629016559368368,0.3370983440631632,0.3334092867294562,"[[""It"", ""PRP""], [""'s"", ""VBZ""], [""humbling"", ""VBG""], ["","", "",""], [""heart"", ""NN""], [""I"", ""PRP""], [""know"", ""VBP""], [""n't"", ""RB""], [""come"", ""VBN""], ["","", "",""], [""came"", ""VBD""], [""believe"", ""JJ""], [""country"", ""NN""], [""."", "".""]]"
3,"In the face of war, you believe there can be peace.",doc1.txt,3,pos,0.30567932990784186,0.6943206700921581,0.3754175133220425,"[[""In"", ""IN""], [""face"", ""NN""], [""war"", ""NN""], ["","", "",""], [""believe"", ""VBP""], [""peace"", ""NN""], [""."", "".""]]"
4,"In the face of despair, you believe there can be hope.",doc1.txt,4,pos,0.36927740517134705,0.630722594828653,0.38029475202057617,"[[""In"", ""IN""], [""face"", ""NN""], [""despair"", ""NN""], ["","", "",""], [""believe"", ""VBP""], [""hope"", ""NN""], [""."", "".""]]"
5,"In the face of a politics that's shut you out, that's told you to settle, that's divided us for too long, you believe we can be one people, reaching for what's possible, building that more perfect union.",doc1.txt,5,pos,0.1675116525554059,0.8324883474445941,0.0982635035756691,"[[""In"", ""IN""], [""face"", ""NN""], [""politics"", ""NNS""], [""'s"", ""POS""], [""shut"", ""NN""], ["","", "",""], [""'s"", ""POS""], [""told"", ""JJ""], [""settle"", ""NN""], ["","", "",""], [""'s"", ""POS""], [""divided"", ""VBD""], [""us"", ""PRP""], [""long"", ""RB""], ["","", "",""], [""believe"", ""VBP""], [""one"", ""CD""], [""people"", ""NNS""], ["","", "",""], [""reaching"", ""VBG""], [""'s"", ""POS""], [""possible"", ""JJ""], ["","", "",""], [""building"", ""VBG""], [""perfect"", ""JJ""], [""union"", ""NN""], [""."", "".""]]"
6,That's the journey we're on today.,doc1.txt,6,pos,0.2621848423881561,0.7378151576118439,0.3805801030830511,"[[""That"", ""DT""], [""'s"", ""VBZ""], [""journey"", ""NN""], [""'re"", ""VBP""], [""today"", ""NN""], [""."", "".""]]"
7,But let me tell you how I came to be here.,doc1.txt,7,neg,0.7202226733897708,0.2797773266102292,0.33454150940438393,"[[""But"", ""CC""], [""let"", ""VB""], [""tell"", ""VB""], [""I"", ""PRP""], [""came"", ""VBD""], [""."", "".""]]"
8,"As most of you know, I am not a native of this great state.",doc1.txt,8,pos,0.2393944691971797,0.7606055308028203,0.12931841963875154,"[[""As"", ""IN""], [""know"", ""NN""], ["","", "",""], [""I"", ""PRP""], [""native"", ""VBP""], [""great"", ""JJ""], [""state"", ""NN""], [""."", "".""]]"
9,I moved to Illinois over two decades ago.,doc1.txt,9,neutral,0.42279385144378995,0.57720614855621,0.6566518253260373,"[[""I"", ""PRP""], [""moved"", ""VBD""], [""Illinois"", ""NNP""], [""two"", ""CD""], [""decades"", ""NNS""], [""ago"", ""RB""], [""."", "".""]]"
