id,sentence,file_name,location,label,negative,positive,neutral
0,"Let me begin by saying thanks to all you who've traveled, from far and wide, to brave the cold today.",doc1.txt,0,pos,0.4089647130404527,0.5910352869595473,0.12227106444069834
1,We all made this journey for a reason.,doc1.txt,1,neutral,0.5442196501312728,0.4557803498687272,0.526436655648746
2,"It's humbling, but in my heart I know you didn't come here just for me, you came here because you believe in what this country can be.",doc1.txt,2,neg,0.6629016559368368,0.3370983440631632,0.3334092867294562
3,"In the face of war, you believe there can be peace.",doc1.txt,3,pos,0.30567932990784186,0.6943206700921581,0.3754175133220425
4,"In the face of despair, you believe there can be hope.",doc1.txt,4,pos,0.369277405171347,0.630722594828653,0.38029475202057617
5,"In the face of a politics that's shut you out, that's told you to settle, that's divided us for too long, you believe we can be one people, reaching for what's possible, building that more perfect union.",doc1.txt,5,pos,0.1675116525554059,0.8324883474445941,0.0982635035756691
6,That's the journey we're on today.,doc1.txt,6,pos,0.2621848423881561,0.7378151576118439,0.38058010308305107
7,But let me tell you how I came to be here.,doc1.txt,7,neg,0.7202226733897708,0.2797773266102292,0.33454150940438393
8,"As most of you know, I am not a native of this great state.",doc1.txt,8,pos,0.23939446919717966,0.7606055308028203,0.12931841963875154
9,I moved to Illinois over two decades ago.,doc1.txt,9,neutral,0.42279385144379,0.57720614855621,0.6566518253260373
10,"I was a young man then, just a year out of college; I knew no one in Chicago, was without money or family connections.",doc1.txt,10,neutral,0.660940671501629,0.339059328498371,0.8081139197648767
11,"But a group of churches had offered me a job as a community organizer for $13,000 a year.",doc1.txt,11,neutral,0.40590162792064055,0.5940983720793594,0.9742962169861166
12,"And I accepted the job, sight unseen, motivated then by a single, simple, powerful idea - that I might play a small part in building a better America.",doc1.txt,12,neutral,0.43202860513341457,0.5679713948665854,0.672774366266314
13,My work took me to some of Chicago's poorest neighborhoods.,doc1.txt,13,neutral,0.6329405853428207,0.3670594146571793,0.5649567051115426
14,I joined with pastors and lay-people to deal with communities that had been ravaged by plant closings.,doc1.txt,14,neutral,0.5553213449112331,0.4446786550887669,0.697225233068249
15,"I saw that the problems people faced weren't simply local in nature - that the decision to close a steel mill was made by distant executives; that the lack of textbooks and computers in schools could be traced to the skewed priorities of politicians a thousand miles away; and that when a child turns to violence, there's a hole in his heart no government could ever fill.",doc1.txt,15,neg,0.6852840953618731,0.31471590463812693,0.2901598814000045
16,"It was in these neighborhoods that I received the best education I ever had, and where I learned the true meaning of my Christian faith.",doc1.txt,16,neutral,0.15095541878028895,0.849044581219711,0.5568362034190656
17,"After three years of this work, I went to law school, because I wanted to understand how the law should work for those in need.",doc1.txt,17,neutral,0.7281892476743244,0.27181075232567564,0.7790288626859031
18,"I became a civil rights lawyer, and taught constitutional law, and after a time, I came to understand that our cherished rights of liberty and equality depend on the active participation of an awakened electorate.",doc1.txt,18,neutral,0.4934299870918599,0.5065700129081401,0.7973476920500664
19,It was with these ideas in mind that I arrived in this capital city as a state Senator.,doc1.txt,19,neutral,0.5733062788725855,0.42669372112741455,0.6845577219234217
20,"It was here, in Springfield, where I saw all that is America converge - farmers and teachers, businessmen and laborers, all of them with a story to tell, all of them seeking a seat at the table, all of them clamoring to be heard.",doc1.txt,20,pos,0.46779904760119617,0.5322009523988038,0.3488888774983592
21,I made lasting friendships here - friends that I see in the audience today.,doc1.txt,21,neg,0.5393076415789624,0.4606923584210376,0.3376495729907985
22,"It was here we learned to disagree without being disagreeable - that it's possible to compromise so long as you know those principles that can never be compromised; and that so long as we're willing to listen to each other, we can assume the best in people instead of the worst.",doc1.txt,22,pos,0.47617976243029936,0.5238202375697006,0.10295140821088965
23,That's why we were able to reform a death penalty system that was broken.,doc1.txt,23,neutral,0.5687552296907986,0.4312447703092014,0.7437341954708087
24,That's why we were able to give health insurance to children in need.,doc1.txt,24,neg,0.6000693658799937,0.3999306341200063,0.1589969115278719
25,"That's why we made the tax system more fair and just for working families, and that's why we passed ethics reforms that the cynics said could never, ever be passed.",doc1.txt,25,neg,0.5580862107197586,0.4419137892802414,0.20116149325405575
26,"It was here, in Springfield, where North, South, East and West come together that I was reminded of the essential decency of the American people - where I came to believe that through this decency, we can build a more hopeful America.",doc1.txt,26,pos,0.36133379369093566,0.6386662063090643,0.49980952024280506
27,"And that is why, in the shadow of the Old State Capitol, where Lincoln once called on a divided house to stand together, where common hopes and common dreams still, I stand before you today to announce my candidacy for President of the United States.",doc1.txt,27,neutral,0.4283861390309106,0.5716138609690894,0.8299042684170495
28,I recognize there is a certain presumptuousness - a certain audacity - to this announcement.,doc1.txt,28,pos,0.4092785511533247,0.5907214488466753,0.18565030562491805
29,I know I haven't spent a lot of time learning the ways of Washington.,doc1.txt,29,pos,0.4502758032954326,0.5497241967045674,0.34521528600605783
30,But I've been there long enough to know that the ways of Washington must change.,doc1.txt,30,neg,0.5593350074822234,0.44066499251777663,0.18533575694180585
31,The genius of our founders is that they designed a system of government that can be changed.,doc1.txt,31,neutral,0.5032877898790791,0.49671221012092087,0.9689930233395244
32,"And we should take heart, because we've changed this country before.",doc1.txt,32,pos,0.4188809873627858,0.5811190126372142,0.42787158343918924
33,"In the face of tyranny, a band of patriots brought an Empire to its knees.",doc1.txt,33,neutral,0.40920829818438853,0.5907917018156115,0.7597284135597634
34,"In the face of secession, we unified a nation and set the captives free.",doc1.txt,34,neutral,0.33837905116266076,0.6616209488373392,0.5925716430508127
35,"In the face of Depression, we put people back to work and lifted millions out of poverty.",doc1.txt,35,neutral,0.4867582995188041,0.5132417004811959,0.7989526168394615
36,"We welcomed immigrants to our shores, we opened railroads to the west, we landed a man on the moon, and we heard a King's call to let justice roll down like water, and righteousness like a mighty stream.",doc1.txt,36,neutral,0.3541847107851699,0.6458152892148301,0.6502222720520628
37,"Each and every time, a new generation has risen up and done what's needed to be done.",doc1.txt,37,pos,0.4313083408205649,0.5686916591794351,0.22552562079668717
38,Today we are called once more - and it is time for our generation to answer that call.,doc1.txt,38,neutral,0.41159724319920177,0.5884027568007982,0.5210805250315219
39,"For that is our unyielding faith - that in the face of impossible odds, people who love their country can change it.",doc1.txt,39,neutral,0.20899453512804422,0.7910054648719558,0.6476921620007338
40,That's what Abraham Lincoln understood.,doc1.txt,40,pos,0.3236553609227305,0.6763446390772695,0.40881430902165006
41,He had his doubts.,doc1.txt,41,neutral,0.5689229880853454,0.43107701191465464,0.948021537237634
42,He had his defeats.,doc1.txt,42,neutral,0.633610747874962,0.3663892521250381,0.948021537237634
43,He had his setbacks.,doc1.txt,43,neutral,0.6148714244453504,0.3851285755546496,0.948021537237634
44,"But through his will and his words, he moved a nation and helped free a people.",doc1.txt,44,neutral,0.235785609718147,0.764214390281853,0.7060109624322995
45,"It is because of the millions who rallied to his cause that we are no longer divided, North and South, slave and free.",doc1.txt,45,neutral,0.43204566104573927,0.5679543389542607,0.7222650732663466
46,"It is because men and women of every race, from every walk of life, continued to march for freedom long after Lincoln was laid to rest, that today we have the chance to face the challenges of this millennium together, as one people - as Americans.",doc1.txt,46,neutral,0.261916306494167,0.738083693505833,0.8304088652295119
47,"All of us know what those challenges are today - a war with no end, a dependence on oil that threatens our future, schools where too many children aren't learning, and families struggling paycheck to paycheck despite working as hard as they can.",doc1.txt,47,neutral,0.5015159128221085,0.4984840871778915,0.624552484684861
48,We know the challenges.,doc1.txt,48,pos,0.34764512239303424,0.6523548776069658,0.45626090081910126
49,We've heard them.,doc1.txt,49,pos,0.4623466318543912,0.5376533681456088,0.4051187493633206
50,We've talked about them for years.,doc1.txt,50,pos,0.48942525997970676,0.5105747400202932,0.3956542402455796
51,What's stopped us from meeting these challenges is not the absence of sound policies and sensible plans.,doc1.txt,51,neg,0.5446680658105034,0.4553319341894965,0.48933208274162815
52,"What's stopped us is the failure of leadership, the smallness of our politics - the ease with which we're distracted by the petty and trivial, our chronic avoidance of tough decisions, our preference for scoring cheap political points instead of rolling up our sleeves and building a working consensus to tackle big problems.",doc1.txt,52,pos,0.33202600738645893,0.6679739926135411,0.29893004641693377
53,"For the last six years we've been told that our mounting debts don't matter, we've been told that the anxiety Americans feel about rising health care costs and stagnant wages are an illusion, we've been told that climate change is a hoax, and that tough talk and an ill-conceived war can replace diplomacy, and strategy, and foresight.",doc1.txt,53,neg,0.509591848070395,0.49040815192960496,0.24024015749799363
