word,count
not,58
enough,17
many,9
So,7
also,5
serious,4
never,4
simply,4
long,4
Now,4
exactly,3
Not,3
far,3
good,3
last,3
possible,3
else,3
worst,3
away,3
close,2
failure,2
still,2
hard,2
dangerous,2
partisan,2
finally,2
flag-draped,2
political,2
ready,2
entire,2
equal,2
even,2
ever,2
right,2
clear,2
’,2
better,2
lower,2
tired,2
broken,2
already,2
next,2
bad,2
acceptable,2
Enough,2
tough,2
nearly,2
publicly,1
magic,1
no-bid,1
low-enriched,1
medical,1
love,1
lot,1
longer,1
really,1
matter,1
much,1
policy-by-slogan,1
plan,1
military,1
overseas,1
overly-rigid,1
original,1
oppose,1
opponent,1
wrong,1
open,1
oldest,1
old,1
new,1
official,1
won't-do,1
renewable,1
tempting,1
terrorist,1
timetable,1
together,1
tonight,1
tragic,1
truly,1
twenty,1
typical,1
understand,1
uninsured,1
unnecessary,1
unprecedented,1
vast,1
victory,1
vital,1
want,1
weak,1
ten,1
succumb,1
safe,1
substantial,1
won't-even-try,1
safeguard,1
wherever,1
second,1
sensible,1
local,1
sew,1
significant,1
skewed,1
slowly,1
smart,1
sooner,1
specific,1
spent,1
stagnant,1
stale,1
stupid,1
scare,1
American,1
load,1
crucial,1
chronically,1
civic,1
civilian,1
closed-door,1
collective,1
committed,1
conventional,1
corporate,1
deepest,1
broader,1
desperate,1
desperately,1
difficult,1
diplomatic,1
disastrous,1
distant,1
divided,1
easy,1
certainly,1
bloated,1
little,1
administrative,1
Many,1
More,1
Moreover,1
Such,1
Yet,1
able,1
absolutely,1
add,1
ago,1
big,1
ahead,1
al,1
alone,1
always,1
argument,1
armor,1
ask,1
believe,1
economic,1
effective,1
effectively,1
interested,1
high,1
hole,1
ideological,1
ignore,1
ill,1
ill-conceived,1
Democratic,1
inexcusable,1
international,1
eighty,1
involved,1
judgment,1
lately,1
later,1
less,1
let,1
likeliest,1
likely,1
heavy,1
heartbroken,1
harder,1
greatest,1
empty,1
engaging,1
eve,1
everywhere,1
exacerbated,1
fair,1
faster,1
fear,1
final,1
financial,1
first,1
fissile,1
free,1
fresh,1
full,1
future,1
give,1
impossible,1
