word,count
American,14
not,12
right,11
also,11
great,10
new,8
hard,8
together,7
many,7
best,6
better,6
well,5
even,5
political,5
real,5
true,5
willing,5
less,4
last,4
nuclear,4
instead,4
never,4
future,4
clear,4
strong,4
possible,4
much,4
first,4
small,4
safe,4
long,4
next,4
common,4
higher,3
greater,3
honest,3
easy,3
certain,3
need,3
economic,3
fundamental,3
finally,3
young,3
tough,3
still,3
especially,3
simply,3
difficult,3
open,3
different,3
important,3
always,3
freedom,3
firmly,2
good,2
foreign,2
far,2
forward,2
free,2
entire,2
enough,2
fuel-efficient,2
effective,2
African,2
keep,2
regional,2
yet,2
sure,2
special,2
sometimes,2
simple,2
similar,2
significant,2
serious,2
self-interest,2
responsible,2
regard,2
larger,2
public,2
petty,2
perfect,2
past,2
often,2
necessary,2
military,2
little,2
likely,2
legacy,2
national,2
individual,2
anymore,2
Fortunately,2
big,2
civil,2
critical,2
ago,2
back,2
almost,2
ahead,2
already,2
affordable,2
destiny,2
rubble,1
active,1
rich,1
respectful,1
act,1
repressive,1
renewable,1
robust,1
second,1
accountable,1
saw,1
regardless,1
select,1
accessible,1
selfish,1
sensational,1
accept,1
settle,1
able,1
significantly,1
Well,1
Such,1
adjust,1
realistic,1
advantageous,1
recently,1
anonymous,1
ordinary,1
outside,1
particularly,1
alternative,1
politically,1
agree,1
powerful,1
powerfully,1
presumptuousness,1
private,1
probably,1
productive,1
profound,1
progress,1
prosperous,1
proud,1
provide,1
rationale,1
ready,1
slough,1
really,1
recent,1
Rather,1
early,1
Nunn-Lugar,1
unwanted,1
tremendous,1
tribal,1
trivial,1
Individual,1
turn,1
twentieth,1
twenty-first,1
ultimately,1
unfulfilled,1
unite,1
universal,1
unseen,1
uphold,1
old,1
urgent,1
use,1
victory,1
warmth,1
Good,1
wide,1
worn-out,1
worse,1
worst,1
yes,1
Certainly,1
British,1
Instead,1
tolerant,1
told,1
Kenyan,1
Now,1
soul-trying,1
speak,1
Never,1
spite,1
spur,1
statistic,1
steadfast,1
Much,1
strategically,1
Most,1
stronger,1
strongest,1
struggles,1
subordinate,1
More,1
surely,1
talent,1
temporarily,1
temptation,1
thank,1
therefore,1
third,1
thoughtful,1
timidity,1
solar,1
army,1
obvious,1
finished,1
focus,1
deeply,1
decent,1
fought,1
dangerous,1
cynicism,1
crowd,1
fugitive,1
critically,1
funnel,1
funny,1
gifts,1
crippling,1
creatively,1
create,1
greatest,1
happy,1
convene,1
harm,1
hear,1
high,1
consistent,1
historic,1
historical,1
homegrown,1
desperately,1
fine,1
ease,1
determine,1
easier,1
easiest,1
due,1
divvy,1
dismiss,1
else,1
dismantle,1
disillusionment,1
disagreeable,1
essential,1
disagree,1
ever,1
everywhere,1
extended,1
extraordinarily,1
failure,1
fair,1
direct,1
farthest,1
father,1
fed,1
federal,1
fellow,1
fight,1
final,1
concrete,1
hopeful,1
hostile,1
however,1
lift,1
broader,1
brightest,1
lobbyist,1
biological,1
longer,1
lot,1
magical,1
biggest,1
matter,1
mean,1
bigger,1
modest,1
mutual,1
benefit,1
believe,1
basic,1
bankrupt,1
away,1
next-generation,1
nice,1
nomination,1
non-proliferation,1
available,1
notion,1
lifetime,1
lie,1
build,1
collective,1
human,1
imagine,1
imperfect,1
conceivable,1
impose,1
impossible,1
impressive,1
improbable,1
increasingly,1
independent,1
indigenous,1
clean,1
cheap,1
intelligent,1
interested,1
international,1
invest,1
keeps,1
key,1
know,1
large,1
chronic,1
chemical,1
lead,1
“,1
